#{"t_start": 1629995467.5777366, "env_id": "Pendulum-v0"}
r,l,t
-1373.157934,200,43.03593
-1545.527911,200,43.148629
-1434.807786,200,43.264318
-1446.300438,200,43.382004
-1661.6609,200,43.49969
-1644.598121,200,43.615381
-1594.432504,200,43.728079
-1568.391201,200,43.843769
-1453.877485,200,43.971429
-1447.569164,200,44.104073
-1411.337927,200,76.473524
-1425.324333,200,76.638083
-1079.580901,200,76.783693
-1502.704019,200,76.902377
-1305.17377,200,77.026045
-1115.661514,200,77.141737
-1238.3884,200,77.257427
-1410.820593,200,77.417998
-1519.477246,200,77.560617
-1436.516806,200,77.703235
-1366.970702,200,109.982925
-1511.184995,200,110.098615
-1385.373437,200,110.209318
-1470.167481,200,110.323015
-1278.227056,200,110.435713
-1335.061431,200,110.557388
-1533.905012,200,110.672081
-1347.262854,200,110.790768
-1085.544929,200,110.90845
-1211.457163,200,111.036108
-854.821044,200,143.607019
-746.531405,200,143.720715
-785.780476,200,143.833414
-974.876111,200,143.949117
-636.058274,200,144.06582
-1000.438732,200,144.178491
-762.019362,200,144.293184
-766.961583,200,144.408875
-769.967663,200,144.525563
-605.79629,200,144.640256
-436.604869,200,177.43457
-117.436644,200,177.561232
-125.95597,200,177.67792
-122.223407,200,177.795604
-384.056618,200,177.913289
-0.127159,200,178.025988
-0.903341,200,178.15265
-507.978449,200,178.267344
-125.802741,200,178.380042
-126.839594,200,178.495733
-126.741349,200,211.712915
-393.614945,200,211.828606
-124.608526,200,211.944297
-233.460577,200,212.065971
-131.737266,200,212.179667
-129.692801,200,212.299348
-249.987766,200,212.412046
-366.94473,200,212.523747
-132.201636,200,212.64243
-240.738136,200,212.759118
-120.633396,200,245.8267
-122.609886,200,245.944385
-0.659486,200,246.063068
-0.48834,200,246.177762
-125.786781,200,246.293452
-238.601854,200,246.407148
-122.431504,200,246.524833
-125.013045,200,246.646508
-132.460519,200,246.766189
-1.420486,200,246.880883
-121.091006,200,280.401253
-116.195567,200,280.552849
-125.02876,200,280.694469
-126.68773,200,280.824123
-361.680623,200,280.938817
-122.409086,200,281.052513
-242.976258,200,281.168204
-0.183194,200,281.284892
-115.859861,200,281.399585
-0.024805,200,281.518267
-0.08089,200,314.867099
-237.998467,200,314.991764
-241.282057,200,315.110446
-120.482868,200,315.224144
-127.184122,200,315.340833
-227.91645,200,315.45554
-306.777621,200,315.571215
-242.709724,200,315.686909
-122.842734,200,315.800602
-123.890562,200,315.91729
-246.852279,200,349.350894
-351.432948,200,349.470574
-122.526242,200,349.588261
-331.82235,200,349.703951
-116.506477,200,349.819641
-0.655842,200,349.937326
-123.633174,200,350.059001
-0.966602,200,350.170702
-359.941779,200,350.285395
-252.748023,200,350.402084
-125.45661,200,383.641207
-127.90776,200,383.752909
-127.009278,200,383.869596
-123.952806,200,384.001246
-124.859715,200,384.12292
-246.304681,200,384.236616
-129.142286,200,384.353303
-118.168591,200,384.472984
-117.192595,200,384.593661
-123.092797,200,384.709352
-127.795408,200,418.368353
-125.084432,200,418.484044
-119.091376,200,418.603723
-334.138307,200,418.719414
-116.981068,200,418.839094
-123.138803,200,418.954785
-128.265283,200,419.067483
-241.460696,200,419.18118
-378.36813,200,419.297867
-235.962679,200,419.412561
-233.06854,200,453.167306
-116.537176,200,453.32289
-0.553749,200,453.471493
-222.974895,200,453.621094
-232.380006,200,453.772687
-237.562605,200,453.924288
-119.106006,200,454.077873
-116.692207,200,454.230464
-244.46639,200,454.380065
-120.500048,200,454.531658
-1.099177,200,489.128153
-125.439579,200,489.279748
-0.84686,200,489.424363
-122.877865,200,489.571966
-243.887301,200,489.718574
-1.567959,200,489.867177
-354.423803,200,490.021763
-1.60411,200,490.174355
-125.784028,200,490.32595
-119.690795,200,490.477545
-355.220921,200,524.927432
-115.409275,200,525.082019
-125.414323,200,525.233613
-237.458727,200,525.386205
-253.28453,200,525.534808
-116.391276,200,525.681417
-335.434512,200,525.835005
-128.921919,200,525.987597
-124.536475,200,526.143181
-124.586911,200,526.297769
-116.906682,200,561.22039
-116.27573,200,561.372983
-251.689296,200,561.528566
-238.575496,200,561.685148
-127.980776,200,561.835746
-243.514455,200,561.986342
-128.475974,200,562.138934
-113.488942,200,562.276566
-0.84312,200,562.413201
-0.871482,200,562.563799
-118.992532,200,598.274314
-2.162479,200,598.411946
-248.610274,200,598.545589
-1.661893,200,598.682224
-116.916319,200,598.823845
-119.493239,200,598.991397
-235.659678,200,599.140997
-371.191472,200,599.296582
-125.473554,200,599.441195
-118.512316,200,599.605754
-121.397626,200,634.984158
-236.227213,200,635.139742
-230.735182,200,635.289342
-1.23329,200,635.437945
-245.219604,200,635.588542
-3.16214,200,635.73515
-125.955595,200,635.888739
-123.10578,200,636.033354
-117.870584,200,636.18794
-124.371026,200,636.33754
-3.42833,200,671.84062
-247.555355,200,671.996195
-120.251867,200,672.146792
-115.809842,200,672.299383
-234.514933,200,672.449981
-246.817262,200,672.601576
-231.971927,200,672.747186
-245.069906,200,672.897783
-3.037831,200,673.051373
-242.04423,200,673.202967
-116.859384,200,708.446732
-358.81231,200,708.599324
-118.203599,200,708.747926
-4.754543,200,708.90351
-125.49332,200,709.058097
-128.957242,200,709.210688
-233.86935,200,709.363281
-243.524062,200,709.517868
-122.705299,200,709.668466
-231.66736,200,709.824049
-2.726198,200,745.374992
-226.629621,200,745.525589
-231.933397,200,745.676186
-125.597863,200,745.825786
-124.051439,200,745.975387
-363.89669,200,746.127978
-247.090811,200,746.279572
-122.220908,200,746.430171
-121.153238,200,746.57977
-238.671322,200,746.728373
-118.299795,200,782.382042
-353.344441,200,782.532638
-3.185188,200,782.681242
-122.576595,200,782.831838
-116.910098,200,782.981439
-349.473316,200,783.13802
-239.386406,200,783.286636
-123.20268,200,783.439215
-239.432474,200,783.587831
-340.823597,200,783.738414
-246.299823,200,819.724194
-3.946189,200,819.858835
-126.937541,200,819.999458
-247.654721,200,820.150056
-360.565062,200,820.296663
-126.115675,200,820.426318
-126.310514,200,820.568935
-3.682288,200,820.725516
-126.226564,200,820.857166
-123.554553,200,820.997789
-250.741312,200,856.918743
-126.313087,200,857.070338
-235.338653,200,857.228912
-122.133077,200,857.380508
-130.093272,200,857.527115
-129.442899,200,857.671728
-250.80366,200,857.822326
-354.775463,200,857.972923
-326.582148,200,858.119531
-126.733779,200,858.271127
-128.025394,200,894.460362
-129.09422,200,894.612954
-123.141341,200,894.765546
-246.854282,200,894.918138
-121.926563,200,895.066741
-132.832666,200,895.216341
-10.300267,200,895.367936
-239.688815,200,895.517535
-248.655029,200,895.668133
-130.803317,200,895.81873
-130.36666,200,932.099721
-135.991649,200,932.250319
-316.670724,200,932.408894
-11.80093,200,932.561486
-245.772565,200,932.714079
-265.749256,200,932.869662
-129.25275,200,933.025246
-127.476294,200,933.176841
-249.765223,200,933.323449
-130.723718,200,933.476041
-131.282365,200,969.717139
-240.369955,200,969.868733
-13.790224,200,970.02332
-348.921166,200,970.170924
-251.115804,200,970.321522
-126.949859,200,970.475111
-330.624715,200,970.623715
-270.622608,200,970.772316
-253.264534,200,970.921916
-247.009812,200,971.072515
-134.543806,200,1007.700576
-131.491952,200,1007.851173
-131.040126,200,1008.001771
-135.654179,200,1008.151371
-130.199662,200,1008.303964
-353.419705,200,1008.45456
-134.42831,200,1008.605158
-246.151889,200,1008.75775
-246.519747,200,1008.913334
-249.892171,200,1009.06792
-124.045404,200,1045.479562
-119.413087,200,1045.62617
-130.461601,200,1045.774773
-121.242348,200,1045.927364
-118.789178,200,1046.079957
-125.622897,200,1046.230553
-331.585713,200,1046.384144
-122.600096,200,1046.535738
-126.661398,200,1046.687332
-241.572221,200,1046.840922
-129.124302,200,1083.727293
-130.996054,200,1083.880883
-7.448698,200,1084.03148
-122.242828,200,1084.18108
-119.855378,200,1084.33467
-7.416065,200,1084.482277
-130.207465,200,1084.631875
-7.99248,200,1084.781476
-120.493372,200,1084.934066
-129.022686,200,1085.088654
-118.128901,200,1123.120961
-2.500989,200,1123.26757
-115.48133,200,1123.420161
-246.275951,200,1123.570759
-126.343594,200,1123.726343
-121.056316,200,1123.877938
-127.240306,200,1124.027538
-2.86252,200,1124.179132
-243.619597,200,1124.329731
-124.605975,200,1124.485314
-120.880757,200,1161.722746
-126.409447,200,1161.874341
-123.35946,200,1162.025936
-127.288327,200,1162.17853
-246.25533,200,1162.329126
-126.363549,200,1162.482715
-122.296937,200,1162.634309
-127.098455,200,1162.784907
-279.903316,200,1162.9375
-7.56642,200,1163.090091
-123.874622,200,1201.613086
-127.840761,200,1201.751716
-133.153038,200,1201.888352
-245.10585,200,1202.035956
-127.63174,200,1202.172591
-125.57031,200,1202.312217
-11.449201,200,1202.44985
-246.199984,200,1202.586484
-10.660349,200,1202.713145
-132.265698,200,1202.852773
-244.99474,200,1241.528359
-244.417734,200,1241.67796
-132.118205,200,1241.829555
-122.434336,200,1241.97716
-245.533242,200,1242.128755
-129.416637,200,1242.279352
-132.3255,200,1242.431944
-8.25009,200,1242.584537
-9.018295,200,1242.737128
-123.855432,200,1242.887726
-238.563984,200,1280.660726
-133.672307,200,1280.810326
-139.646092,200,1280.964914
-245.463707,200,1281.115511
-133.178911,200,1281.265111
-360.75329,200,1281.41471
-13.174051,200,1281.565309
-136.214782,200,1281.713912
-128.924743,200,1281.865506
-245.507326,200,1282.019094
-244.669656,200,1320.363568
-9.370055,200,1320.516168
-10.863849,200,1320.662768
-11.386688,200,1320.816361
-132.879857,200,1320.96895
-131.971136,200,1321.125531
-132.029005,200,1321.275131
-126.372394,200,1321.426726
-127.913001,200,1321.580314
-245.023495,200,1321.732907
-132.016406,200,1360.052447
-128.798068,200,1360.204041
-251.310577,200,1360.350649
-132.150224,200,1360.499252
-12.351632,200,1360.64586
-122.443691,200,1360.802441
-13.543194,200,1360.938079
-10.129143,200,1361.0797
-129.531144,200,1361.230297
-10.022492,200,1361.379897
-8.751925,200,1399.498973
-126.214795,200,1399.645583
-234.815403,200,1399.796179
-309.677513,200,1399.943783
-132.272675,200,1400.097373
-245.390714,200,1400.248968
-343.094928,200,1400.39757
-122.037056,200,1400.549164
-125.918597,200,1400.698765
-261.089937,200,1400.852355
-248.093837,200,1438.706141
-252.951825,200,1438.856737
-135.36195,200,1439.007335
-348.776471,200,1439.157932
-14.19958,200,1439.309527
-14.313022,200,1439.463116
-136.931622,200,1439.609723
-133.602359,200,1439.758326
-136.712338,200,1439.910918
-14.060748,200,1440.060519
-125.710939,200,1478.307253
-248.858274,200,1478.4389
-357.908186,200,1478.569551
-128.980052,200,1478.720149
-262.906319,200,1478.86177
-11.204341,200,1478.993418
-124.425644,200,1479.137034
-123.321632,200,1479.29561
-131.691845,200,1479.436234
-11.967984,200,1479.570874
-129.231368,200,1517.822596
-259.937691,200,1517.973194
-133.20198,200,1518.113816
-131.692458,200,1518.253451
-133.901163,200,1518.404041
-245.604947,200,1518.552643
-126.007718,200,1518.70723
-130.075839,200,1518.859822
-11.385215,200,1519.011417
-274.36255,200,1519.163016
-129.693692,200,1557.928359
-128.11454,200,1558.075966
-234.310476,200,1558.22756
-244.003498,200,1558.376162
-13.205904,200,1558.521773
-264.515785,200,1558.672369
-245.946201,200,1558.824961
-131.335701,200,1558.97157
-136.219427,200,1559.124161
-239.336849,200,1559.27476
-241.517948,200,1598.093965
-130.86433,200,1598.25254
-130.222841,200,1598.390172
-138.930854,200,1598.525809
-243.523802,200,1598.676406
-127.586126,200,1598.828
-293.520087,200,1598.960647
-135.454611,200,1599.090299
-126.37855,200,1599.24389
-134.708669,200,1599.392491
-246.978576,200,1638.007242
-132.384871,200,1638.159835
-344.946739,200,1638.310432
-255.665523,200,1638.457039
-238.947893,200,1638.609631
-129.763649,200,1638.759231
